Date,Estimated COVID importations
1/1/20,0.006102695
2/1/20,0.047394007
3/1/20,0.058658685
4/1/20,0.071772855
5/1/20,0.098315625
6/1/20,0.135756128
7/1/20,0.170815473
8/1/20,0.19443048
9/1/20,0.29451445
10/1/20,0.343452304
11/1/20,0.864425802
12/1/20,0.915542503
13/1/20,1.217924446
14/1/20,1.50831777
15/1/20,1.884930408
16/1/20,2.093670905
17/1/20,2.300447922
18/1/20,2.546801989
19/1/20,3.052218507
20/1/20,4.054554919
21/1/20,4.561151099
22/1/20,5.2236174
23/1/20,5.641410061
24/1/20,6.347631759
25/1/20,7.665267461
26/1/20,8.429876226
27/1/20,9.085921347
28/1/20,10.76146936
29/1/20,11.92296698
30/1/20,13.27930659
31/1/20,15.02033814
1/2/20,13.9546707
2/2/20,13.76853995
3/2/20,13.35785877
4/2/20,12.74225789
5/2/20,12.15202388
6/2/20,11.4320086
7/2/20,10.89310946
8/2/20,9.702859159
9/2/20,8.626314375
10/2/20,7.909947934
11/2/20,6.440121208
12/2/20,5.818800644
13/2/20,5.27132813
14/2/20,5.372381543
15/2/20,5.270064726
16/2/20,6.199747968
17/2/20,6.233985547
18/2/20,8.065935719
19/2/20,8.744320594
20/2/20,10.31329611
21/2/20,12.74541658
22/2/20,14.84587657
23/2/20,16.41373463
24/2/20,20.01396714
25/2/20,22.95619568
26/2/20,27.23397833
27/2/20,31.84607295
28/2/20,37.64081176
29/2/20,42.64536945
1/3/20,45.30722978
2/3/20,54.66272277
3/3/20,66.55673732
4/3/20,77.85019619
5/3/20,94.12682878
6/3/20,110.0540402
7/3/20,129.0327045
8/3/20,150.4712742
9/3/20,173.8068423
10/3/20,200.1782214
11/3/20,227.8372504
12/3/20,254.2949955
13/3/20,293.3051723
14/3/20,330.1051567
15/3/20,373.6562096
16/3/20,418.8174337
17/3/20,457.9257999
18/3/20,529.3615006
19/3/20,573.7859942
20/3/20,640.849835
21/3/20,708.4622541
22/3/20,768.4306924
23/3/20,831.8408536
24/3/20,911.4182544
25/3/20,984.9382126
26/3/20,1076.033965
27/3/20,1129.480821
28/3/20,1207.357721
29/3/20,1274.672893
30/3/20,1308.530966
31/3/20,1366.412589
1/4/20,1343.471088
2/4/20,1315.575443
3/4/20,1272.328884
4/4/20,1225.719381
5/4/20,1167.261839
6/4/20,1116.244279
7/4/20,1042.245982
8/4/20,967.4735531
9/4/20,875.9334232
10/4/20,800.718596
11/4/20,719.0236408
12/4/20,653.9476295
13/4/20,581.3674512
14/4/20,528.6893969
15/4/20,512.6537806
16/4/20,482.7535626
17/4/20,470.6420623
18/4/20,466.6449433
19/4/20,440.8999343
20/4/20,440.5080062
21/4/20,420.4707013
22/4/20,414.5654304
23/4/20,402.8005253
24/4/20,397.4673894
25/4/20,386.5771716
26/4/20,384.6081843
27/4/20,372.2541564
28/4/20,364.0685187
29/4/20,357.241811
30/4/20,355.4748162
1/5/20,318.7539247
2/5/20,303.2828565
3/5/20,290.8935645
4/5/20,280.606959
5/5/20,262.6050707
6/5/20,240.6450694
7/5/20,228.6556183
8/5/20,213.0762417
9/5/20,202.7228488
10/5/20,187.2955957
11/5/20,174.0387015
12/5/20,161.2883551
13/5/20,151.1906113
14/5/20,145.561352
15/5/20,141.7361088
16/5/20,135.7128855
17/5/20,136.3039769
18/5/20,133.832916
19/5/20,129.2839271
20/5/20,128.0881347
21/5/20,128.0291768
22/5/20,126.0903814
23/5/20,123.7135228
24/5/20,126.755242
25/5/20,126.5317133
26/5/20,127.1694678
27/5/20,125.3190337
28/5/20,127.9896764
29/5/20,126.406926
30/5/20,127.5289781
31/5/20,130.7093636
1/6/20,134.9436072
2/6/20,138.8573231
3/6/20,147.1371058
4/6/20,149.0879418
5/6/20,155.6554816
6/6/20,159.1649296
7/6/20,160.5774381
8/6/20,166.2046216
9/6/20,171.4555128
10/6/20,173.7662354
11/6/20,178.3692003
12/6/20,181.5872868
13/6/20,185.2216111
14/6/20,187.2560932
15/6/20,192.1308532
16/6/20,192.5207117
17/6/20,198.468004
18/6/20,199.226703
19/6/20,205.0661631
20/6/20,209.3230669
21/6/20,209.6760435
22/6/20,214.2086106
23/6/20,213.1050762
24/6/20,222.1447003
25/6/20,228.731217
26/6/20,231.6718623
27/6/20,234.1545616
28/6/20,240.8626619
29/6/20,245.8224407
30/6/20,249.6335824